sex,age_years,height_pct,height_cm_sbp,height_cm_dbp,height_in_sbp,height_in_dbp,sbp_p50,sbp_p90,sbp_p95,sbp_p95plus12,dbp_p50,dbp_p90,dbp_p95,dbp_p95plus12
female,1,5,75.4,75.4,29.7,29.7,84,98,101,113,41,54,59,71
female,1,10,76.6,76.6,30.2,30.2,85,99,102,114,42,55,59,71
female,1,25,78.6,78.6,30.9,30.9,86,99,102,114,42,56,60,72
female,1,50,80.8,80.8,31.8,31.8,86,100,103,115,43,56,60,72
female,1,75,83,83,32.7,32.7,87,101,104,116,44,57,61,73
female,1,90,84.9,84.9,33.4,33.4,88,102,105,117,45,58,62,74
female,1,95,86.1,86.1,33.9,33.9,88,102,105,117,46,58,62,74
female,2,5,84.9,84.9,33.4,33.4,87,101,104,116,45,58,62,74
female,2,10,86.3,86.3,34,34,87,101,105,117,46,58,63,75
female,2,25,88.6,88.6,34.9,34.9,88,102,106,118,47,59,63,75
female,2,50,91.1,91.1,35.9,35.9,89,103,106,118,48,60,64,76
female,2,75,93.7,93.7,36.9,36.9,90,104,107,119,49,61,65,77
female,2,90,96,96,37.8,37.8,91,105,108,120,50,62,66,78
female,2,95,97.4,97.4,38.4,38.4,91,106,109,121,51,62,66,78
female,3,5,91,91,35.8,35.8,88,102,106,118,48,60,64,76
female,3,10,92.4,92.4,36.4,36.4,89,103,106,118,48,61,65,77
female,3,25,94.9,94.9,37.3,37.3,89,104,107,119,49,61,65,77
female,3,50,97.6,97.6,38.4,38.4,90,104,108,120,50,62,66,78
female,3,75,100.5,100.5,39.6,39.6,91,105,109,121,51,63,67,79
female,3,90,103.1,103.1,40.6,40.6,92,106,110,122,53,64,68,80
female,3,95,104.6,104.6,41.2,41.2,93,107,110,122,53,65,69,81
female,4,5,97.2,97.2,38.3,38.3,89,103,107,119,50,62,66,78
female,4,10,98.8,98.8,38.9,38.9,90,104,108,120,51,63,67,79
female,4,25,101.4,101.4,39.9,39.9,91,105,109,121,51,64,68,80
female,4,50,104.5,104.5,41.1,41.1,92,106,109,121,53,65,69,81
female,4,75,107.6,107.6,42.4,42.4,93,107,110,122,54,66,70,82
female,4,90,110.5,110.5,43.5,43.5,94,108,111,123,55,67,70,82
female,4,95,112.2,112.2,44.2,44.2,94,108,112,124,55,67,71,83
female,5,5,103.6,103.6,40.8,40.8,90,104,108,120,52,64,68,80
female,5,10,105.3,105.3,41.5,41.5,91,105,109,121,52,65,69,81
female,5,25,108.2,108.2,42.6,42.6,92,106,109,121,53,66,70,82
female,5,50,111.5,111.5,43.9,43.9,93,107,110,122,55,67,71,83
female,5,75,114.9,114.9,45.2,45.2,94,108,111,123,56,68,72,84
female,5,90,118.1,118.1,46.5,46.5,95,109,112,124,57,69,73,85
female,5,95,120,120,47.3,47.3,96,110,113,125,57,70,73,85
female,6,5,110,110,43.3,43.3,92,105,109,121,54,67,70,82
female,6,10,111.8,111.8,44,44,92,106,109,121,54,67,71,83
female,6,25,114.9,114.9,45.2,45.2,93,107,110,122,55,68,72,84
female,6,50,118.4,118.4,46.6,46.6,94,108,111,123,56,69,72,84
female,6,75,122.1,122.1,48.1,48.1,96,109,112,124,57,70,73,85
female,6,90,125.6,125.6,49.4,49.4,97,110,113,125,58,71,74,86
female,6,95,127.7,127.7,50.3,50.3,97,111,114,126,59,71,74,86
female,7,5,115.9,115.9,45.6,45.6,92,106,109,121,55,68,72,84
female,7,10,117.8,117.8,46.4,46.4,93,106,110,122,55,68,72,84
female,7,25,121.1,121.1,47.7,47.7,94,107,111,123,56,69,73,85
female,7,50,124.9,124.9,49.2,49.2,95,109,112,124,57,70,73,85
female,7,75,128.8,128.8,50.7,50.7,97,110,113,125,58,71,74,86
