"RWT - amended, Boys",,,,,
,,,,,
age_decimal,regression_intercept,height_length_coefficient,weight_coefficient,midparental_height_coefficient,bone_age_coefficient
3,-27.234,1.26246,-0.25019,0.53461,-0.65638
3.5,-28.2574,1.23505,-0.30869,0.53982,-0.70428
4,-28.9167,1.21348,-0.34595,0.53855,-0.76831
4.5,-29.2444,1.19675,-0.36472,0.5318,-0.73631
5,-29.2727,1.18387,-0.36721,0.52055,-0.78353
5.5,-29.0343,1.17385,-0.35645,0.50581,-0.80409
6,-28.5616,1.16573,-0.33493,0.48857,-0.82953
6.5,-27.8955,1.15849,-0.30526,0.46982,-0.86454
7,-27.0179,1.15117,-0.27008,0.45056,-0.91381
7.5,-25.8717,1.14277,-0.232,0.43178,-0.98203
8,-24.4,1.13231,-0.19364,0.41449,-1.07388
8.5,-22.5461,1.1188,-0.15762,0.39967,-1.19404
9,-20.2529,1.10126,-0.12657,0.38832,-1.34721
9.5,-17.0286,1.07869,-0.10311,0.38143,-1.53808
10,-12.5118,1.05012,-0.08985,0.38001,-1.77132
10.5,-6.8414,1.01698,-0.08062,0.37987,-2.04178
11,-0.1564,0.98228,-0.06811,0.37618,-2.32959
11.5,7.4041,0.94744,-0.05323,0.36898,-2.61742
12,15.7014,0.91384,-0.03687,0.35828,-2.88793
12.5,24.0267,0.88289,0.01995,0.34412,-3.12378
13,31.5226,0.85598,-0.00337,0.32651,-3.30763
13.5,37.8261,0.83452,0.01195,0.3049,-3.42213
14,42.5748,0.81989,0.02512,0.28108,-3.49946
14.5,45.4058,0.81349,0.03521,0.25333,-3.73776
15,45.9566,0.81674,0.04133,0.2222,-3.1762
15.5,43.744,0.83101,0.04257,0.18777,-2.83994
16,37.88,0.85772,0.03802,0.15006,-2.34764
16.5,27.3943,0.89825,0.02677,0.10908,-1.68196
17,11.3167,0.95402,0.00791,0.06487,-0.82556
17.5,-11.3232,1.0264,-0.01946,0.01745,0.23891
