"RWT - amended, Girls",,,,,,
,,,,,,
age_decimal,regression_intercept,height_length_coefficient,weight_coefficient,midparental_height_coefficient,bone_age_coefficient,
3,-23.9478,1.45753,-1.14127,0.39955,-0.16198,
3.5,-20.3292,1.36486,-1.11756,0.40731,-0.2478,
4,-17.4687,1.29673,-1.07989,0.4068,-0.31738,
4.5,-15.2455,1.24936,-1.03034,0.39932,-0.37813,
5,-13.5388,1.21884,-0.97101,0.3862,-0.43747,
5.5,-12.2278,1.20167,-0.90399,0.36875,-0.50281,
6,-11.1916,1.19378,-0.83135,0.34829,-0.58157,
6.5,-10.5424,1.19145,-0.75518,0.32611,-0.68116,
7,-10.067,1.19089,-0.67757,0.30355,-0.80899,
7.5,-9.1559,1.18832,-0.60062,0.28191,-0.97248,
8,-7.1992,1.17992,-0.52639,0.2625,-1.17904,
8.5,-3.5889,1.16192,-0.45698,0.24665,-1.43608,
9,2.2858,1.1305,-0.39448,0.23366,-1.75101,
9.5,10.7978,1.08188,-0.34097,0.23084,-2.13125,
10,20.8509,1.01227,-0.29853,0.2361,-2.58422,
10.5,30.8503,0.94329,-0.26275,0.2361,-2.96492,
11,39.2013,0.89702,-0.22799,0.231,-3.14271,
11.5,44.3092,0.87033,-0.19458,0.2195,-3.14657,
12,44.5791,0.86007,-0.16283,0.20291,-3.00544,
12.5,41.0599,0.86311,-0.13304,0.18251,-2.74831,
13,36.0835,0.8763,-0.10554,0.15961,-2.40411,
13.5,29.8981,0.89652,-0.08063,0.13548,-2.00183,
14,23.0799,0.92063,-0.05862,0.11144,-1.57041,
14.5,15.7131,0.94548,-0.03984,0.08878,-1.13882,
15,8.2098,0.96794,-0.02458,0.06879,-0.73603,
15.5,1.6941,0.98488,-0.01317,0.05276,-0.39099,
16,-2.4822,0.99315,-0.00591,0.04199,-0.13266,
16.5,-3.648,0.98962,-0.00312,0.03778,0.00999,
17,-1.132,0.97115,-0.00511,0.04141,0.00801,
17.5,5.7371,0.9346,-0.01219,0.05419,-0.16758,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
