# Aaronson IA. Micropenis: Medical and Surgical Implications. J Urol 1994;152:4-14.
# Mean ± SD by age band (Feldman & Smith newborn data through prepubertal ages).
# Digitized from data/references/SPL-child-USA-feldman.jpg. Percentiles derived from normal distribution (mean ± SD).
# m2_5SdCm = mean − 2.5·SD (micropenis threshold per Aaronson).
ageYears,ageLabel,meanCm,sdCm,m2_5SdCm,p3Cm,p5Cm,p50Cm,p95Cm,p97Cm
0.208,0-5 months,3.9,0.8,1.9,2.395,2.584,3.9,5.216,5.405
0.75,6-12 months,4.3,0.8,2.3,2.795,2.984,4.3,5.616,5.805
1.5,1-2 years,4.7,0.8,2.7,3.195,3.384,4.7,6.016,6.205
2.5,2-3 years,5.1,0.9,2.85,3.407,3.62,5.1,6.58,6.793
3.5,3-4 years,5.5,0.9,3.25,3.807,4.02,5.5,6.98,7.193
4.5,4-5 years,5.7,0.9,3.45,4.007,4.22,5.7,7.18,7.393
5.5,5-6 years,6.0,0.9,3.75,4.307,4.52,6.0,7.48,7.693
6.5,6-7 years,6.1,0.9,3.85,4.407,4.62,6.1,7.58,7.793
7.5,7-8 years,6.2,1.0,3.7,4.319,4.555,6.2,7.845,8.081
8.5,8-9 years,6.3,1.0,3.8,4.419,4.655,6.3,7.945,8.181
9.5,9-10 years,6.3,1.0,3.8,4.419,4.655,6.3,7.945,8.181
10.5,10-11 years,6.4,1.1,3.65,4.331,4.591,6.4,9.209,9.469
