# Schonfeld WA, Beebe GW. Normal Growth and Variation in the Male Genitalia from Birth to Maturity.
# J Urol. 1942;48(6):759-777. Digitized from data/excel/SPL-USA-SCHONFELD.png (Fig. 5).
# Deciles: 1st (10th), median (50th), 9th (90th). Values plateau from 18 years.
ageYears,p10Cm,p50Cm,p90Cm
0,2.7,3.8,5.2
1,3.1,4.25,5.65
2,3.5,4.7,6.1
3,3.85,5.1,6.55
4,4.2,5.5,7.0
5,4.45,5.75,7.2
6,4.7,6.0,7.4
7,4.75,6.15,7.5
8,4.8,6.3,7.6
9,4.85,6.35,7.65
10,4.9,6.4,7.7
11,4.9,6.75,9.5
12,4.9,7.1,11.3
13,5.8,8.45,12.4
14,6.7,9.8,13.5
15,7.9,10.8,14.15
16,9.1,11.8,14.8
17,10.2,12.45,15.15
18,11.3,13.1,15.5
19,11.3,13.1,15.5
20,11.3,13.1,15.5
24,11.3,13.1,15.5
