# Aaronson IA. Micropenis: Medical and Surgical Implications. J Urol 1994;152:4-14.
# Mean ± SD by age band; percentiles computed from normal distribution.
ageYears,ageLabel,meanCm,sdCm,p3Cm,p5Cm,p50Cm,p95Cm,p97Cm
0.208,0-5 months,3.9,0.8,2.395,2.584,3.9,5.216,5.405
0.75,6-12 months,4.3,0.8,1.795,1.984,4.3,5.616,5.805
1.5,1-2 years,4.7,0.8,2.195,2.384,4.7,6.016,6.205
2.5,2-3 years,5.1,0.9,2.407,2.62,5.1,7.58,7.793
3.5,3-4 years,5.5,0.9,2.807,3.02,5.5,7.98,8.193
4.5,4-5 years,5.7,0.9,3.007,3.22,5.7,8.18,8.393
5.5,5-6 years,6.0,0.9,3.307,3.52,6.0,8.48,8.693
6.5,6-7 years,6.1,0.9,3.407,3.62,6.1,8.58,8.793
7.5,7-8 years,6.2,1.0,3.319,3.555,6.2,8.845,9.081
8.5,8-9 years,6.3,1.0,3.419,3.655,6.3,8.945,9.181
9.5,9-10 years,6.3,1.0,3.419,3.655,6.3,8.945,9.181
10.5,10-11 years,6.4,1.1,3.331,4.591,6.4,9.209,9.469
