# Tomova A et al. Growth and Development of Male External Genitalia. Arch Pediatr Adolesc Med 2010;164(12):1152-1157.
ageYears,centile,splCm
0,5,2.8
0,50,3.5
0,95,4.4
1,5,3.0
1,50,3.7
1,95,4.6
2,5,3.0
2,50,4.0
2,95,4.8
3,5,3.0
3,50,4.0
3,95,5.0
4,5,3.2
4,50,4.2
4,95,5.3
5,5,3.46
5,50,4.5
5,95,5.5
6,5,3.5
6,50,4.5
6,95,5.5
7,5,3.56
7,50,4.6
7,95,6.0
8,5,3.7
8,50,4.6
8,95,6.0
9,5,3.61
9,50,4.6
9,95,5.89
10,5,3.66
10,50,4.8
10,95,6.0
11,5,4.0
11,50,5.0
11,95,6.9
12,5,4.0
12,50,5.6
12,95,8.8
13,5,4.5
13,50,7.25
13,95,9.5
14,5,5.56
14,50,8.0
14,95,10.0
15,5,7.0
15,50,8.7
15,95,10.5
16,5,7.2
16,50,9.0
16,95,11.0
17,5,7.41
17,50,9.0
17,95,11.0
18,5,7.5
18,50,9.0
18,95,11.0
19,5,8.0
19,50,9.5
19,95,11.0
