# Halil H, Oğuz ŞS. Establishment of normative data for stretched penile length in Turkish preterm and term newborns.
# Turk J Pediatr 2017;59(3):269-273. Percentiles derived from mean/SD (Table II); p50 = median.
gaWeeks,n,medianCm,meanCm,sdCm,minCm,maxCm,p3Cm,p5Cm,p10Cm,p25Cm,p50Cm,p75Cm,p90Cm,p95Cm,p97Cm
26,30,1.9,1.9,0.32,1.1,2.5,1.298,1.374,1.49,1.684,1.9,2.116,2.31,2.426,2.502
27,31,2.1,2.0,0.28,1.1,2.6,1.473,1.539,1.641,1.811,2.1,2.189,2.359,2.461,2.527
28,32,2.0,1.9,0.31,1.3,2.9,1.317,1.39,1.503,1.691,2.0,2.109,2.297,2.41,2.483
29,29,2.3,2.3,0.39,1.3,2.9,1.566,1.659,1.8,2.037,2.3,2.563,2.8,2.941,3.034
30,31,2.4,2.4,0.32,1.6,3.0,1.798,1.874,1.99,2.184,2.4,2.616,2.81,2.926,3.002
31,33,2.4,2.4,0.38,1.8,3.3,1.685,1.775,1.913,2.144,2.4,2.656,2.887,3.025,3.115
32,32,2.9,2.6,0.44,2.0,3.2,1.772,1.876,2.036,2.303,2.9,2.897,3.164,3.324,3.428
33,28,2.9,2.8,0.45,1.9,3.4,1.954,2.06,2.223,2.496,2.9,3.104,3.377,3.54,3.646
34,30,2.9,2.8,0.43,2.0,3.6,1.991,2.093,2.249,2.51,2.9,3.09,3.351,3.507,3.609
35,29,3.1,2.9,0.61,2.0,4.1,1.753,1.897,2.118,2.489,3.1,3.311,3.682,3.903,4.047
36,31,3.1,3.0,0.5,2.2,4.0,2.06,2.178,2.359,2.663,3.1,3.337,3.641,3.822,3.94
37,29,3.1,3.0,0.47,2.2,4.1,2.116,2.227,2.398,2.683,3.1,3.317,3.602,3.773,3.884
38,44,3.1,3.1,0.54,2.1,4.5,2.084,2.212,2.408,2.736,3.1,3.464,3.792,3.988,4.116
39,82,3.2,3.2,0.55,2.0,4.2,2.166,2.295,2.495,2.829,3.2,3.571,3.905,4.105,4.234
40,65,3.5,3.4,0.53,2.2,4.4,2.403,2.528,2.721,3.043,3.5,3.757,4.079,4.272,4.397
41,29,3.6,3.5,0.47,2.6,4.3,2.616,2.727,2.898,3.183,3.6,3.817,4.102,4.273,4.384
